site,VLPml
Mermaidmucus,6842394
Mermaidmucus,3041064
Mermaidmucus,3497223.6
Mermaidmucus,7754713.2
Mermaidmucus,7450606.8
Mermaidmucus,5625968.4
Mermaidmucus,5169808.8
Mermaidmucus,4865702.4
Mermaidmucus,8362926
Mermaidmucus,10947830.4
Mermaidwater,950332.5
Mermaidwater,1102385.7
Mermaidwater,1634571.9
Mermaidwater,1558545.3
Mermaidwater,1444505.4
Mermaidwater,1330465.5
Mermaidwater,1102385.7
Mermaidwater,1748611.8
Mermaidwater,1102385.7
Mermaidwater,1254438.9
Sandywater,836292.6
Sandywater,988345.8
Sandywater,950332.5
Sandywater,1178412.3
Sandywater,608212.8
Sandywater,798279.3
Sandywater,798279.3
Sandywater,646226.1
Sandywater,912319.2
Sandywater,722252.7
Mermaidmucus,5017755.6
Mermaidmucus,5930074.8
Mermaidmucus,5321862
Mermaidmucus,5321862
Mermaidmucus,3801330
Mermaidmucus,4713649.2
Mermaidmucus,2584904.4
Mermaidmucus,3345170.4
Mermaidmucus,4561596
Mermaidmucus,6842394
Mermaidwater,1710598.5
Mermaidwater,988345.8
Mermaidwater,1254438.9
Mermaidwater,1178412.3
Mermaidwater,1330465.5
Mermaidwater,1634571.9
Mermaidwater,1178412.3
Mermaidwater,1254438.9
Mermaidwater,1292452.2
Mermaidwater,1368478.8
Sandywater,874305.9
Sandywater,532186.2
Sandywater,684239.4
Sandywater,494172.9
Sandywater,608212.8
Sandywater,646226.1
Sandywater,798279.3
Sandywater,418146.3
Sandywater,570199.5
Sandywater,684239.4
