site,VPLml
Mermaidmucus,456159.6
Mermaidmucus,608212.8
Mermaidmucus,1216425.6
Mermaidmucus,912319.2
Mermaidmucus,608212.8
Mermaidmucus,152053.2
Mermaidmucus,912319.2
Mermaidmucus,304106.4
Mermaidmucus,1064372.4
Mermaidmucus,608212.8
Mermaidwater,38013.3
Mermaidwater,0
Mermaidwater,38013.3
Mermaidwater,38013.3
Mermaidwater,0
Mermaidwater,0
Mermaidwater,0
Mermaidwater,0
Mermaidwater,0
Mermaidwater,0
Sandywater,38013.3
Sandywater,0
Sandywater,38013.3
Sandywater,38013.3
Sandywater,0
Sandywater,0
Sandywater,0
Sandywater,0
Sandywater,38013.3
Sandywater,0
Mermaidmucus,1064372.4
Mermaidmucus,456159.6
Mermaidmucus,608212.8
Mermaidmucus,912319.2
Mermaidmucus,304106.4
Mermaidmucus,760266
Mermaidmucus,456159.6
Mermaidmucus,152053.2
Mermaidmucus,456159.6
Mermaidmucus,1368478.8
Mermaidwater,38013.3
Mermaidwater,0
Mermaidwater,0
Mermaidwater,38013.3
Mermaidwater,0
Mermaidwater,0
Mermaidwater,0
Mermaidwater,0
Mermaidwater,0
Mermaidwater,0
Sandywater,38013.3
Sandywater,0
Sandywater,0
Sandywater,0
Sandywater,0
Sandywater,0
Sandywater,38013.3
Sandywater,76026.6
Sandywater,0
Sandywater,0
