site,VLPml
Mermaidmucus,87430590
Mermaidmucus,110238570
Mermaidmucus,76026600
Mermaidmucus,117841230
Mermaidmucus,64622610
Mermaidmucus,91231920
Mermaidmucus,114039900
Mermaidmucus,91231920
Mermaidmucus,64622610
Mermaidmucus,60821280
Mermaidwater,19956982.5
Mermaidwater,23758312.5
Mermaidwater,19006650
Mermaidwater,22807980
Mermaidwater,12354322.5
Mermaidwater,26609310
Mermaidwater,19956982.5
Mermaidwater,20907315
Mermaidwater,27559642.5
Mermaidwater,27559642.5
Sandywater,18373095
Sandywater,13304655
Sandywater,10136880
Sandywater,14571765
Sandywater,10770435
Sandywater,14571765
Sandywater,15838875
Sandywater,10770435
Sandywater,8869770
Sandywater,16472430
Mermaidmucus,76026600
Mermaidmucus,163457190
Mermaidmucus,79827930
Mermaidmucus,83629260
Mermaidmucus,91231920
Mermaidmucus,209073150
Mermaidmucus,144450540
Mermaidmucus,152053200
Mermaidmucus,38013300
Mermaidmucus,102635910
Mermaidwater,21857647.5
Mermaidwater,32311305
Mermaidwater,20907315
Mermaidwater,27559642.5
Mermaidwater,21857647.5
Mermaidwater,28509975
Mermaidwater,30410640
Mermaidwater,24708645
Mermaidwater,22807980
Mermaidwater,19956982.5
Sandywater,12037545
Sandywater,7602660
Sandywater,6969105
Sandywater,13304655
Sandywater,12671100
Sandywater,13304655
Sandywater,9503325
Sandywater,15205320
Sandywater,10136880
Sandywater,13304655
